TestID,SN,Time,Result,,,,测试项目,UID,ScanBinCode,PowerOnCurrentLM,getFwByHeadset,Light_Bar_On_CurrentLM,All_led_off_CurrentLM,VsysLmTP202,ResetLmTP72,VdcLmTP73,Z1_led_rLmTP208,Z1_led_gLmTP207,Z2_led_rLmTP211,Z2_led_gLmTP210,Z1_led_bLmTP209,Z2_led_bLmTP212,MicBiasoLmbTP98,NtcLmbTP216,Spk_lLmPad18,Spk_rLmPad16,Fast_chargeLM,TrickleChargeLm,aStopCharge_4V25LMB,OvpLM,OcpLM,WriteLEDBinCodeBySMT,ReadLEDBinCode,SetPCBASNByHeadSet,GetPCBASNByHeadSet,Off_Mode_currentLM,,,,单位,N/A,N/A,mA,N/A,mA,mA,V,V,V,V,V,V,V,V,N/A,V,V,mV,mV,mA,mA,mA,mA,mA,N/A,N/A,N/A,N/A,uA,,,,数值下限,N/A,N/A,1,V2.0.6,15,1,4.37,1.62,4.5,1,1,1,1,1,1,2.2,-0.1,67,67,370,4,0,-2,150,N/A,N/A,N/A,N/A,0.1,,,,数值上限,N/A,N/A,25,V2.0.6,35,6,4.83,1.98,5,3,3,3,3,3,3,2.6,0.1,95,95,500,12,5,3,250,N/A,N/A,N/A,N/A,10,
1,2342ME000P22,12: 45: 24,False,2342ME000P22,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2342ME000P22,12: 46: 57,False,2342ME000P22,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2342ME000P22,12: 47: 54,False,2342ME000P22,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,123123123123,12: 48: 33,False,2342ME000P22,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2342ME000P22,01: 12: 16,False,2342ME000P22,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TE_BZP_EN_TEST,02: 22: 00,False,True,0.01,0.04,0.01,False null,,,,,,
1,TE_BZP_EN_TEST,02: 24: 19,False,True,0.01,0.03,0.01,-0.49,False null,,,,,
1,TE_BZP_EN_TEST,02: 25: 39,False,True,0.01,0.00,0.07,-0.44,False null,,,,,
1,TE_BZP_EN_TEST,02: 27: 04,False,True,0.06,0.03,0.01,-0.46,-0.51,-0.44,False null,,,
1,TE_BZP_EN_TEST,02: 28: 38,False,True,0.01,0.01,0.01,False null,,,,,,
1,TE_BZP_EN_TEST,02: 32: 03,False,True,0.01,0.02,0.01,False null,,,,,,
1,,02: 34: 19,False,True,0.11,0.01,0.01,False null,,,,,,
1,,02: 36: 17,False,True,0.01,0.01,0.02,-0.48,-0.46,-0.46,False null,,,
1,,02: 39: 57,False,True,0.09,0.01,0.02,False null,,,,,,
1,,02: 40: 52,False,True,0.01,0.01,0.03,-0.42,-0.34,-0.28,-0.04,0.21,-0.32,
1,,02: 41: 46,False,True,0.05,0.02,0.01,-0.46,-0.46,-0.42,-3.48,-2.93,-0.31,
1,,02: 43: 38,False,True,0.01,0.01,0.03,-0.44,-0.49,-0.47,False null,,,
1,,02: 43: 51,False,True,0.01,0.05,0.03,-0.48,-0.46,-0.46,False null,,,
1,,02: 45: 12,False,True,0.01,0.01,0.01,-0.44,-0.46,-0.44,-3.48,-3.48,-0.47,
1,,03: 28: 17,False,False COMPORT ERROR： The port 'COM13' does not exist.,,,,,,,,,,,,,,,,,,
1,,03: 29: 12,False,True,0.05,0.00,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.04,0.01,-0.39,2.78,